,transcriptid
303,183439
304,201092
305,258492
306,295732
307,306538
308,337054
309,375845
310,413564
311,453211
312,474196
313,493480
314,543645
315,552353
316,562123
317,581610
318,631132
319,679482
320,729293
321,770650
322,810262
323,855981
324,908511
325,990184
326,1767187
327,1769589
384,1283
385,1284
386,10201
387,12934
388,15766
389,20650
390,28516
391,40252
392,46984
393,65621
394,71836
395,86592
396,95214
397,112723
398,118639
399,145516
400,168198
401,171687
402,182667
403,195268
404,218021
405,287665
406,313867
407,328487
408,352892
409,367176
410,387028
411,404389
412,444427
413,469860
414,485709
415,515162
416,529711
417,555513
418,569528
419,612175
420,634202
421,639795
422,659033
423,689224
424,704721
425,731898
426,747183
427,977656
428,1016531
429,1042849
430,1060834
431,1090870
432,1100585
433,1117817
434,1177043
435,1552829
436,1758760
439,1100
440,1101
441,1102
442,10155
443,12251
444,12596
445,15467
446,19622
447,30089
448,37092
449,46693
450,65624
451,67891
452,80275
453,94136
454,115076
455,115387
456,139270
457,143078
458,156830
459,160110
460,173536
461,193929
462,208739
463,274394
464,286331
465,319700
466,326952
467,355568
468,365925
469,387255
470,394727
471,403211
472,443290
473,462963
474,475953
475,484581
476,515378
477,528492
478,550437
479,561566
480,581190
481,611278
482,634725
483,643795
484,658533
485,693634
486,704006
487,729338
488,739643
489,746553
490,789516
491,813083
492,825328
493,826688
494,833573
495,870748
496,872111
497,876752
498,905166
499,913795
500,919342
501,930753
502,958800
503,966215
504,988232
505,993945
506,1000197
507,1007609
508,1045132
509,1056106
510,1098061
511,1112624
512,1127208
513,1172347
514,1219096
515,1230246
516,1236117
517,1245914
518,1298546
519,1307296
520,1326024
521,1348807
522,1362444
523,1370747
524,1390295
525,1430799
526,1437359
527,1479193
528,1484380
529,1492592
530,1501363
531,1557194
532,1570262
533,1595742
534,1624613
535,1637141
536,1700392
537,1708627
538,1754070
539,1756037
540,1759032
541,1760224
542,1771578
543,1773466
544,1823371
545,1834118
546,1858429
624,1172
625,1173
626,10102
627,12739
628,15566
629,19567
630,25714
631,38222
632,46634
633,62169
634,71133
635,81108
636,94073
637,116779
638,144461
639,172491
640,174967
641,194174
642,202974
643,208723
644,273738
645,274988
646,285844
647,305208
648,308617
649,318955
650,327458
651,349097
652,356885
653,366880
654,387463
655,395222
656,403201
657,428221
658,443969
659,477729
660,485680
661,514403
662,528932
663,552314
664,562742
665,568670
666,586393
667,611998
668,644347
669,649963
670,660110
671,694836
672,704546
673,731541
674,740490
675,749090
676,795279
677,820502
678,824041
679,827190
680,833940
681,860565
682,869351
683,877095
684,905927
685,913068
686,919990
687,929853
688,961983
689,987115
690,994475
691,1000155
692,1010222
693,1046303
694,1057250
695,1088318
696,1098203
697,1114400
698,1174242
699,1218672
700,1227997
701,1248775
702,1298969
703,1327396
704,1335756
705,1350639
706,1361178
707,1414655
708,1432863
709,1433607
710,1471577
711,1480571
712,1491329
713,1495194
714,1504442
715,1572762
716,1629122
717,1630213
718,1637375
719,1652108
720,1652166
721,1683348
722,1688248
723,1703568
724,1748302
725,1763041
726,1770044
727,1770283
728,1774087
729,1823803
730,1848312
731,1857365
732,1330
733,1331
734,10206
735,13624
736,15697
737,19676
738,26293
739,1033398
740,1081165
741,1126042
742,1244695
743,1275134
744,1344192
745,1381399
746,1484242
747,1505543
748,1538441
749,1603364
750,1648650
751,1761323
752,1801737
753,1853051
754,1910
755,1911
756,10967
757,14135
758,62938
759,72131
760,84773
761,107505
762,121625
763,151085
764,173680
765,182168
766,203026
767,205229
768,267218
769,282112
770,301444
771,342708
772,381899
773,394046
774,421535
775,424181
776,429127
777,457657
778,498301
779,515939
780,524483
781,541859
782,554545
783,560836
784,568138
785,589444
786,596209
787,599576
788,617618
789,620521
790,669870
791,693868
792,701878
793,716351
794,738812
795,756373
796,775459
797,779551
798,787255
799,800923
800,807577
801,821992
802,848382
803,869030
804,873434
805,886230
806,911740
807,927122
808,945020
809,948088
810,966355
811,990459
812,1032912
813,1049815
814,1051189
815,1074314
816,1098153
817,1107635
818,1135856
819,1149293
820,1152099
821,1186826
822,1212777
823,1257619
824,1295501
825,1298584
826,1322639
827,1358934
828,1361171
829,1379987
830,1404820
831,1411832
832,1441442
833,1466433
834,1470953
835,1523152
836,1551938
837,1559139
838,1564882
839,1580976
840,1624257
841,1645094
842,1672262
843,1686336
844,1718733
845,1739720
846,1750581
847,1782868
848,1824739
849,1827311
850,1841851
851,2371
852,2373
853,11021
854,14155
855,19378
856,28664
857,40396
858,48491
859,64294
860,73939
861,90502
862,101229
863,111339
864,115011
865,118610
866,127794
867,134573
868,134920
869,137750
870,157037
871,164574
872,170307
873,175444
874,189920
875,195143
876,198606
877,201819
878,219092
879,260531
880,260609
881,268617
882,276583
883,280054
884,284297
885,308542
886,313151
887,315347
888,315696
889,316591
890,318885
891,347300
892,348128
893,354183
894,355370
895,356625
896,364188
897,386059
898,389406
899,390588
900,396223
901,415799
902,418133
903,422556
904,441637
905,465902
906,474226
907,478417
908,479897
909,486579
910,505011
911,515984
912,517150
913,519821
914,520041
915,521728
916,522902
917,550552
918,553663
919,555189
920,562781
921,569284
922,584322
923,584380
924,603489
925,609029
926,635574
927,643337
928,646811
929,683190
930,690853
931,693884
932,694244
933,731337
934,733390
935,734348
936,739395
937,739584
938,760623
939,763028
940,778327
941,785281
942,814556
943,818652
944,825788
945,827633
946,829921
947,858291
948,869507
949,874370
950,876787
951,898839
952,902955
953,906036
954,907038
955,910267
956,912438
957,916354
958,926132
959,933283
960,951624
961,955984
962,958999
963,989049
964,994894
965,1000679
966,1001016
967,1037061
968,1042826
969,1047013
970,1088635
971,1101339
972,1117052
973,1135735
974,1136469
975,1147018
976,1159599
977,1213499
978,1223078
979,1230801
980,1240803
981,1258224
982,1284472
983,1295214
984,1299863
985,1301070
986,1327426
987,1354823
988,1357002
989,1357843
990,1360434
991,1360745
992,1361198
993,1368764
994,1392190
995,1394099
996,1402918
997,1404821
998,1411823
999,1470525
1000,1480591
1001,1485668
1002,1486499
1003,1491362
1004,1494130
1005,1533483
1006,1546374
1007,1551821
1008,1557775
1009,1560941
1010,1618100
1011,1618201
1012,1624215
1013,1624373
1014,1625802
1015,1630193
1016,1632780
1017,1643033
1018,1658304
1019,1659560
1020,1670867
1021,1671549
1022,1702120
1023,1740216
1024,1751152
1025,1757363
1026,1758255
1027,1760701
1028,1766357
1029,1767691
1030,1770650
1031,1824880
1032,1827421
1035,14079
1036,16091
1037,18184
1038,18185
1039,18186
1040,21546
1041,28323
1042,40023
1043,55604
1044,66807
1045,74751
1046,86580
1047,98274
1048,119385
1049,148495
1050,180132
1051,215305
1052,290775
1053,332135
1054,374778
1055,389303
1056,408475
1057,448424
1058,488926
1059,534475
1060,574686
1061,615239
1062,663393
1063,684576
1064,708018
1065,751499
1066,794759
1067,837706
1068,862474
1080,14279
1081,16993
1082,19123
1083,19124
1084,19125
1085,21098
1086,29248
1087,41665
1088,51325
1089,60509
1090,74169
1091,94527
1092,106485
1093,125512
1094,155165
1095,170659
1096,187917
1097,201163
1098,264420
1099,301398
1100,343435
1101,384189
1102,392972
1103,394754
1104,400567
1105,423735
1106,456550
1107,498893
1108,546429
1109,562831
1110,580242
1111,596322
1112,631943
1113,671194
1114,680795
1115,740466
1116,750831
1117,776434
1118,779487
1119,808795
1120,853230
1121,896201
1122,912313
1123,942774
1124,948847
1125,977399
1126,1003608
1127,1028214
1128,1077041
1129,1098290
1130,1143679
1131,1229358
1132,1269051
1133,1295534
1134,1301483
1135,1332506
1136,1359746
1137,1412437
1138,1425278
1139,1457981
1140,1535677
1141,1572390
1142,1586550
1143,1602086
1144,1682883
1145,1692679
1146,1738829
1147,1769135
1148,1803684
1149,1859154
1150,3370
1151,3371
1152,10331
1153,13044
1154,67144
1155,79679
1156,82024
1157,101589
1158,119274
1159,154530
1160,179883
1161,283669
1162,285742
1163,336374
1164,413409
1165,456948
1166,492900
1167,535947
1168,576735
1169,618889
1170,670124
1171,712722
1172,754483
1173,796505
1174,840837
1175,882915
1176,925622
1177,980418
1178,1019609
1179,1062720
1180,1129074
1181,1179517
1182,1251520
1183,1322665
1184,1382976
1185,1456338
1186,1513902
1187,1581320
1188,1662102
1189,1770263
1190,1814001
1191,1858777
1192,77545
1193,92329
1194,113373
1195,114220
1196,125087
1197,152974
1198,187382
1199,262207
1200,301782
1201,337371
1202,380056
1203,418784
1204,460946
1205,496759
1206,542527
1207,588737
1208,628227
1209,673131
1210,724967
1211,736930
1212,767741
1213,813018
1214,850465
1215,896181
1216,910217
1217,936668
1218,980687
1219,1022711
1220,1076547
1221,1143113
1222,1196129
1223,1279378
1224,1333497
1225,1400598
1226,1483022
1227,1501992
1228,3737
1229,3738
1230,10031
1231,13163
1232,16038
1233,19548
1234,25646
1235,37052
1236,52243
1237,56407
1238,78792
1239,91033
1240,97340
1241,113021
1242,115504
1243,142115
1244,173127
1245,212619
1246,217117
1247,265106
1248,284422
1249,321877
1250,325984
1251,361339
1252,365131
1253,395472
1254,409318
1255,445768
1256,478078
1257,485964
1258,525433
1259,530107
1260,562154
1261,564369
1262,576783
1263,614094
1264,661007
1265,674219
1266,695288
1267,705356
1268,717591
1269,740106
1270,753733
1271,791312
1272,817976
1273,831467
1274,835335
1275,878882
1276,913070
1277,934086
1278,965351
1279,1012905
1280,1043103
1281,1072598
1282,1099159
1283,1145774
1284,1204699
1285,1238717
1286,1263559
1287,1342688
1288,1409865
1289,1414637
1290,1464293
1291,1474983
1292,1538319
1293,1614165
1294,1680211
1295,1686287
1296,1734754
1297,1799640
1298,1858116
1346,4165
1347,4392
1348,11135
1349,14425
1350,16432
1351,22119
1352,29211
1353,44015
1354,48389
1355,67128
1356,83281
1357,96027
1358,126148
1359,147994
1360,216633
1361,279429
1362,282682
1363,282695
1364,283266
1365,289936
1366,308297
1367,311541
1368,318701
1369,332202
1370,356593
1371,371095
1372,389549
1373,402243
1374,404995
1375,425173
1376,447388
1377,467015
1378,472959
1379,476978
1380,489023
1381,515094
1382,533661
1383,550586
1384,570586
1385,591018
1386,622750
1387,635005
1388,643382
1389,650988
1390,651963
1391,680789
1392,720612
1393,729255
1394,736382
1395,746554
1396,753907
1397,803693
1398,814180
1399,826454
1400,829278
1401,829810
1402,852557
1403,869537
1404,872845
1405,893476
1406,917826
1407,924271
1408,967453
1409,983858
1410,984855
1411,988365
1412,990220
1413,996110
1414,1049139
1415,1074026
1416,1082124
1417,1112873
1418,1138144
1419,1162897
1420,1183731
1421,1211979
1422,1214920
1423,1229548
1424,1258466
1425,1297057
1426,1333300
1427,1347285
1428,1351147
1429,1367010
1430,1375146
1431,1418165
1432,1443006
1433,1474374
1434,1492347
1435,1522031
1436,1557877
1437,1615665
1438,1616370
1439,1635753
1440,1641558
1441,1689362
1442,1712232
1443,1747938
1444,1756349
1445,1768456
1446,1769155
1447,1769410
1448,1770115
1449,1794289
1450,1821834
1451,1850120
1452,896024
1453,951154
1454,988297
1455,1022634
1456,1069770
1457,1121976
1458,1206065
1459,1253082
1460,1319396
1461,1375683
1462,1466545
1463,1515621
1464,1582518
1465,1643566
1466,1735043
1467,1781813
1468,1842142
1469,4712
1470,4713
1471,10028
1472,12660
1473,15455
1474,19531
1475,36433
1476,54631
1477,56076
1478,67290
1479,79750
1480,91777
1481,97787
1482,115790
1483,132907
1484,143646
1485,167800
1486,173933
1487,196272
1488,208947
1489,210236
1490,257045
1491,272130
1492,284850
1493,311041
1494,325228
1495,326428
1496,352549
1497,365535
1498,388656
1499,392480
1500,401259
1501,403366
1502,442718
1503,466836
1504,484932
1505,512817
1506,513375
1507,527988
1508,555914
1509,559566
1510,565647
1511,569125
1512,586314
1513,610979
1514,643771
1515,658203
1516,688260
1517,689929
1518,703946
1519,735917
1520,737316
1521,743218
1522,746584
1523,788080
1524,789165
1525,804561
1526,821564
1527,825837
1528,833626
1529,834063
1530,839300
1531,840636
1532,865168
1533,881485
1534,907442
1535,909357
1536,909686
1537,916444
1538,945113
1539,953797
1540,959670
1541,989113
1542,1004059
1543,1009852
1544,1038125
1545,1041914
1546,1057062
1547,1090201
1548,1093041
1549,1099357
1550,1108298
1551,1130919
1552,1145956
1553,1156031
1554,1183428
1555,1207885
1556,1214620
1557,1224056
1558,1242786
1559,1262002
1560,1273413
1561,1275469
1562,1299127
1563,1323903
1564,1349808
1565,1355407
1566,1357805
1567,1359158
1568,1364787
1569,1364792
1570,1364793
1571,1364929
1572,1367026
1573,1370524
1574,1375063
1575,1402788
1576,1442820
1577,1470948
1578,1471109
1579,1471269
1580,1491359
1581,1491367
1582,1511147
1583,1551856
1584,1557995
1585,1581054
1586,1605865
1587,1617986
1588,1635651
1589,1640911
1590,1672277
1591,1698066
1592,1711554
1593,1739402
1594,1739402
1595,1750446
1596,1751162
1597,1759425
1598,1760855
1599,1781563
1600,1801060
1601,1807432
1602,1812143
1603,1823539
1604,1846749
1605,1855563
1606,1855563
1607,159191
1608,1279833
1609,1420761
1610,1466195
1611,1539674
1612,1611574
1613,1689442
1614,1759988
1615,1760314
1616,1800763
1617,1850964
1628,4531
1629,4533
1630,12228
1631,14485
1632,17277
1633,21554
1634,33159
1635,44445
1636,55817
1637,71008
1638,86063
1639,106053
1640,126526
1641,149306
1642,201157
1643,277776
1644,303659
1645,321896
1646,332926
1647,362676
1648,380010
1649,421001
1650,456474
1651,479203
1652,504187
1653,540602
1654,593801
1655,595517
1656,604228
1657,623505
1658,651846
1659,679932
1660,699122
1661,729311
1662,773326
1663,804106
1664,829085
1665,853407
1666,875558
1667,893940
1668,944218
1669,974472
1670,1001149
1671,1026279
1672,1073561
1673,1169386
1674,1195025
1675,1231030
1676,1276497
1677,1359825
1678,1431748
1683,4722
1684,4724
1685,11670
1686,14762
1687,17070
1688,22595
1689,30637
1690,42624
1691,53180
1692,62473
1693,75810
1694,88795
1695,104491
1696,130804
1697,163621
1698,169518
1699,170434
1700,193935
1701,202506
1702,209103
1703,262164
1704,269446
1705,310594
1706,312986
1707,349152
1708,353524
1709,359096
1710,389386
1711,395353
1712,403475
1713,421170
1714,422406
1715,469398
1716,474741
1717,506182
1718,522569
1719,555580
1720,570860
1721,588704
1722,595338
1723,640408
1724,686656
1725,689582
1726,700647
1727,734315
1728,740521
1729,748378
1730,760384
1731,766854
1732,774484
1733,821596
1734,825806
1735,861630
1736,865164
1737,872015
1738,907049
1739,909206
1740,910637
1741,913323
1742,920079
1743,941654
1744,944109
1745,992254
1746,995066
1747,1038535
1748,1043000
1749,1049773
1750,1089409
1751,1095488
1752,1099716
1753,1114304
1754,1143076
1755,1147675
1756,1213529
1757,1223289
1758,1225005
1759,1286204
1760,1294075
1761,1309824
1762,1353458
1763,1356785
1764,1359092
1765,1371495
1766,1401513
1767,1408417
1768,1474418
1769,1485611
1770,1490987
1771,1549529
1772,1552028
1773,1563151
1774,1612893
1775,1618373
1776,1635207
1777,1635806
1778,1637473
1779,1666855
1780,1674222
1781,1754606
1782,1761144
1783,1767906
1784,1769000
1785,1769125
1786,1811139
1787,1820230
1788,1831075
1866,5806
1867,5808
1868,10587
1869,13341
1870,15715
1871,20308
1872,27559
1873,38349
1874,46988
1875,57969
1876,69216
1877,97944
1878,104024
1879,117622
1880,120529
1881,147819
1882,162312
1883,167128
1884,170659
1885,175089
1886,185859
1887,213511
1888,287849
1889,290766
1890,331899
1891,377013
1892,414934
1893,451332
1894,469412
1895,470344
1896,489155
1897,513151
1898,532114
1899,576400
1900,599429
1901,604781
1902,618720
1903,626636
1904,640362
1905,666435
1906,691619
1907,694315
1908,712863
1909,739287
1910,742091
1911,761406
1912,796493
1913,804447
1914,839245
1915,867188
1916,870535
1917,891295
1918,913801
1919,928453
1920,963157
1921,964997
1922,1000648
1923,1047394
1924,1105427
1925,1178137
1926,1178296
1927,1178348
1928,1178889
1929,1212058
1930,1216658
1931,1216660
1932,1221232
1933,1228106
1934,1256595
1935,1297071
1936,1301155
1937,1322570
1938,1357923
1939,1360184
1940,1381605
1941,1393903
1942,1410840
1943,1415881
1944,1440012
1945,1444853
1946,1464034
1947,1471924
1948,1482404
1949,1488750
1950,1490074
1951,1490365
1952,1493159
1953,1512933
1954,1558421
1955,1559231
1956,1561147
1957,1561315
1958,1582228
1959,1625219
1960,1665513
1961,1682531
1962,1721315
1963,1742243
1964,1747494
1965,1757939
1966,1759624
1967,1761544
1968,1767456
1969,1790876
1970,1800264
1971,1823800
1972,1846538
1996,1028775
1997,1209420
1998,1284483
1999,1348656
2000,1410192
2001,1471513
2002,1545563
2003,1630704
2004,1677216
2005,1735087
2006,1802053
2007,1851447
2008,5741
2009,5742
2010,10104
2011,12251
2012,347734
2013,364261
2014,6043
2015,6044
2016,6046
2017,6047
2018,10114
2019,13119
2020,15562
2021,20071
2022,26548
2023,38050
2024,47683
2025,58609
2026,69551
2027,86620
2028,96550
2029,114634
2030,119433
2031,131405
2032,134945
2033,138096
2034,144554
2035,162304
2036,163476
2037,167792
2038,168917
2039,175044
2040,194305
2041,194510
2042,197835
2043,199676
2044,201438
2045,203490
2046,206898
2047,208931
2048,261009
2049,269403
2050,286307
2051,293265
2052,303721
2053,318572
2054,328025
2055,353010
2056,353982
2057,366829
2058,389477
2059,392392
2060,392730
2061,394453
2062,401466
2063,405648
2064,417800
2065,423549
2066,444429
2067,466974
2068,474234
2069,485324
2070,510589
2071,510599
2072,520345
2073,523054
2074,533470
2075,554383
2076,554983
2077,560629
2078,565753
2079,571081
2080,584207
2081,596260
2082,617242
2083,645106
2084,660974
2085,689800
2086,692969
2087,708916
2088,733107
2089,737669
2090,738211
2091,748987
2092,774314
2093,786769
2094,793890
2095,804527
2096,835418
2097,865232
2098,869586
2099,873363
2100,880706
2101,892078
2102,905491
2103,909411
2104,910306
2105,931036
2106,943096
2107,945199
2108,996183
2109,1000118
2110,1046996
2111,1058995
2112,1088629
2113,1132604
2114,1145946
2115,1178310
2116,1178328
2117,1178334
2118,1183586
2119,1207535
2120,1215997
2121,1216661
2122,1216664
2123,1249613
2124,1268992
2125,1298851
2126,1325094
2127,1351185
2128,1356062
2129,1356300
2130,1362519
2131,1371531
2132,1378995
2133,1393502
2134,1404539
2135,1441428
2136,1470876
2137,1483790
2138,1487162
2139,1504670
2140,1562604
2141,1562914
2142,1590918
2143,1609162
2144,1619790
2145,1622629
2146,1625260
2147,1628542
2148,1645881
2149,1669775
2150,1686424
2151,1706405
2152,1724634
2153,1741450
2154,1756593
2155,1760756
2156,1767775
2157,1768034
2158,1769892
2159,1771571
2160,1776400
2161,1823885
2162,1840429
2172,6198
2173,6199
2174,10336
2175,12813
2238,6757
2239,6758
2240,9900
2241,12320
2242,15331
2243,19379
2244,24252
2245,33659
2246,44879
2247,47301
2248,54868
2249,78205
2250,90884
2251,112663
2252,124361
2253,137784
2254,169113
2255,172725
2256,173093
2257,203093
2258,213278
2259,264873
2260,278237
2261,284086
2262,290286
2263,293161
2264,317288
2265,321106
2266,325244
2267,358635
2268,361374
2269,363722
2270,381119
2271,384598
2272,399035
2273,436184
2274,479201
2275,480543
2276,480594
2277,481242
2278,482813
2279,485215
2280,519785
2281,520304
2282,523076
2283,526310
2284,527515
2285,540404
2286,553511
2287,563763
2288,604753
2289,625306
2290,626603
2291,653147
2292,653205
2293,654072
2294,658575
2295,697324
2296,701067
2297,726125
2298,742008
2299,783778
2300,829974
2301,869602
2302,890826
2303,904030
2304,906075
2305,908323
2306,929814
2307,946237
2308,952786
2309,1001139
2310,1048148
2311,1050193
2312,1088402
2313,1103577
2314,1158455
2315,1210154
2316,1233136
2317,1301262
2318,1338462
2319,1341559
2320,1347276
2321,1350982
2322,1362377
2323,1393372
2324,1422464
2325,1462713
2326,1496277
2327,1559434
2328,1582237
2329,1612763
2330,1631214
2331,1659077
2332,1690659
2333,1763718
2334,1768714
2335,1825905
2336,1834905
2345,7208
2346,7210
2347,11907
2348,17879
2349,24396
2350,33619
2351,44371
2352,54520
2353,59096
2354,74130
2355,83785
2356,108107
2357,126183
2360,13229
2361,15554
2362,18998
2363,18999
2364,19000
2365,20087
2366,26674
2367,46449
2368,68499
2369,93448
2370,117075
2371,144371
2372,163977
2373,175810
2374,211521
2375,292615
2376,312912
2377,326450
2378,334025
2379,372619
2380,405352
2381,449618
2382,475776
2383,490488
2384,533455
2385,575182
2386,581485
2387,591178
2388,615971
2389,633592
2390,663239
2391,717517
2392,748420
2393,759163
2394,767517
2395,794730
2396,817826
2397,838074
2398,874370
2399,880534
2400,911375
2401,920006
2402,930258
2403,937678
2404,961538
2405,987740
2406,1010414
2407,1066820
2408,1119219
2409,1126508
2410,1136969
2411,1183166
2412,1224189
2413,1258753
2414,1322556
2415,1374696
2416,1402980
2417,1412097
2418,1439797
2419,1512215
2420,1567636
2421,1570557
2422,1579448
2423,1641151
2424,1657174
2425,1679777
2426,1682170
2427,1716821
2428,1766530
2429,1782069
2430,1842814
2431,13202
2432,16427
2433,19018
2434,19019
2435,19020
2436,23423
2437,27270
2438,41020
2439,55710
2440,62183
2441,69300
2442,87194
2443,97339
2444,117605
2445,141249
2446,147692
2447,177091
2448,189244
2449,215311
2450,282204
2451,286911
2452,334506
2453,359530
2454,370318
2455,405814
2456,419590
2457,451907
2458,474176
2459,490912
2460,519807
2461,534874
2462,552909
2463,571886
2464,587045
2465,599725
2466,617536
2467,665362
2468,699295
2469,710536
2470,752883
2471,765237
2472,775714
2473,795098
2474,839196
2475,881690
2476,924185
2477,935290
2478,962330
2479,1011589
2480,1068682
2481,1077267
2482,1098082
2483,1129798
2484,1142911
2485,1183988
2486,1215787
2487,1238955
2488,1261489
2489,1327342
2490,1379956
2491,1411263
2492,1433847
2493,1473234
2494,1512888
2495,1581433
2496,1658802
2497,1664519
2498,1682465
2499,1690702
2500,1766686
2501,1769457
2502,1770219
2503,1781878
2504,1848319
2505,1853989
2506,7850
2507,7851
2508,12414
2509,13731
2510,14662
2511,17878
2512,28507
2513,40242
2514,53300
2515,59883
2516,70490
2517,84804
2518,108071
2519,126193
2520,146958
2521,170811
2522,209034
2523,281969
2524,298972
2525,316442
2526,334355
2527,364746
2528,372243
2529,393317
2530,396797
2531,430313
2532,448256
2533,488546
2534,527106
2535,533274
2536,598382
2537,616814
2538,663476
2539,705138
2540,709964
2541,778428
2542,793914
2543,837997
2544,875696
2545,881248
2546,946799
2547,968992
2548,989203
2549,1017670
2550,1066976
2551,1149935
2552,1184587
2553,1216515
2554,1260032
2555,1314196
2556,1325137
2557,1408898
2558,1441898
2559,1486467
2560,1491557
2561,1493153
2562,1497903
2563,1515719
2564,1586102
2565,1711796
2566,1729117
2567,1752875
2568,1807094
2569,1857079
2773,1398394
2774,1674132
2965,17605
2966,21654
2967,28787
2968,40653
2969,52506
2970,67023
2971,74394
2972,108220
2973,125684
2974,157238
2975,189205
2976,213370
2977,268710
2978,273649
2979,277912
2980,301074
2981,314198
2982,323802
2983,342518
2984,382104
2985,426525
2986,433506
2987,433920
2988,439798
2989,459272
2990,486721
2991,545741
2992,566496
2993,628973
2994,677260
2995,725045
2996,754048
2997,809878
2998,824302
2999,850239
3000,892448
3001,931138
3002,982394
3003,1033332
3004,1082760
3005,1222596
3006,1278970
3007,1363851
3008,1400674
3009,1466363
3010,1541949
3011,1621995
3012,1669358
3013,1738510
3014,1757638
3015,1760880
3016,1760935
3017,1766877
3018,1817200
3019,1832817
3020,1859503
3022,14702
3023,23740
3024,102699
3025,125843
3026,157491
3027,188183
3028,262389
3029,266305
3030,299456
3031,344478
3032,385983
3033,424438
3034,440195
3035,460961
3036,491146
3037,497478
3038,498943
3039,544087
3040,595014
3041,631644
3042,675566
3043,719238
3044,770206
3045,775852
3046,818564
3047,823130
3048,848701
3049,893382
3050,942196
3051,951585
3052,977658
3053,1001022
3054,1026436
3055,1075376
3056,1143411
3057,1203554
3058,1222755
3059,1231004
3060,1231006
3061,1269918
3062,1333562
3063,1401825
3064,1413250
3065,1456101
3066,1486522
3067,1492646
3068,1522917
3069,1557835
3070,1589706
3071,1667026
3072,1684825
3073,1720366
3074,1761294
3075,1762520
3076,1790107
3077,1854170
3078,3548
3079,11157
3080,13328
3081,15951
3082,20684
3083,30527
3084,40968
3085,49045
3086,58690
3087,75990
3088,96637
3089,117083
3090,163655
3091,164337
3092,181531
3093,211880
3094,265758
3095,298658
3096,350124
3097,372693
3098,396791
3099,408287
3100,414530
3101,453025
3102,509185
3103,536512
3104,573288
3105,618950
3106,694709
3107,711437
3108,753131
3109,796142
3110,863056
3111,920068
3112,923317
3113,963473
3114,1039447
3115,1073149
3116,1120715
3117,1189045
3118,1287888
3119,1327051
3120,1446435
3121,1545613
3122,1565061
3123,1573401
3124,1589922
3125,1646006
3126,1696269
3127,1718499
3128,1819052
3129,1852088
3130,2178
3131,9885
3132,12447
3133,15333
3134,19413
3135,27915
3136,34761
3162,885
3163,75651
3164,91424
3165,129405
3166,133301
3167,135856
3168,158911
3169,188185
3170,275093
3171,300382
3172,304004
3173,346641
3174,384767
3175,434884
3176,462579
3177,505459
3178,552789
3179,602977
3180,636778
3181,638410
3182,651992
3183,684457
3184,730014
3185,785313
3186,812576
3187,815676
3188,857374
3189,903409
3190,951374
3191,957674
3192,980452
3193,1030608
3194,1091354
3195,1104775
3196,1156170
3197,1209248
3198,1273978
3199,1341694
3200,1428248
3201,1429589
3202,1480612
3203,1536619
3204,1610292
3205,1674428
3206,1757696
3207,1758033
3208,1770252
3209,1797380
3210,1827215
3211,1860164
3212,161
3213,162
3214,13764
